type,value,source
domain,cancel-otp-request.ml,public
domain,bankid.no-nett-info.com,public
domain,tinyurl.com/2p83hch8,public
domain,uberpromocode75off.ml,public
domain,employementreturn.info,public
domain,employementgov.online,public
domain,bankid.no-no.cc,public
domain,onlinecaptchavalidation.ml,public
domain,refbill-telusoneview.ml,public
domain,scotlaonllne3019.ca,public
domain,freedomrefundprogram.info,public
domain,refbill-rogerswirelessoneview.ml,public
domain,securecdn-amazon.com,public
domain,bbva.es-app.net,public
domain,ca-amazon-recovrry.com,public
domain,permanenttsb-ie-secure.info,public
domain,cajamar.es-es.link,public
domain,freedomprogram.xyz,public
domain,santander.es-es.link,public
domain,refbill-bellwirelesscanada.ml,public
domain,permanenttsb-ie-alert.com,public
domain,bankid.no-nett.info,public
domain,n26.fr-compte-info.com,public
domain,securemobile-clientinfos.com,public
domain,securemobile-client.com,public
domain,privat24.ua-ua.info,public
domain,bell-overcharge.ca,public
domain,bell-overcharges.ca,public
domain,e-refbill-available.ml,public
domain,www.satander.li,public
domain,efqperotu1.ca,public
domain,refundjanuary978626.tk,public
domain,flashrewards-request.ml,public
domain,permanenttsb.ie-online.info,public
domain,bankid.no-sperret.info,public
domain,canada-deposit-infosplus.com,public
domain,canada-deposit-infos.com,public
domain,myaccount-amazonsecure.com,public
domain,365-confirm.com,public
domain,permanenttsb-ie-open24.info,public
domain,tknskidhjlp.com,public
domain,claim-annual-rewards.ca,public
domain,claim-annual-reward.ca,public
domain,netflixenligne.com,public
domain,bankid.no-no.link,public
domain,bankid.no-sperret.net,public
domain,financial-assistance-infos.com,public
domain,financial-assistance-direct.com,public
domain,freedomrefundprogram.top,public
domain,mobility-carrier-infosplus.com,public
domain,mobility-carrier-infos.com,public
domain,cesrave2389.online,public
domain,deleave3794.online,public
domain,servicesupport.ca,public
domain,annual-rewards-claim.ca,public
domain,annual-reward-claim.ca,public
domain,help-center.ca,public
domain,aib-ie-confirmation.com,public
domain,overpaymentprogramfreedom.xyz,public
domain,claim-membership-rewards.ca,public
domain,claim-membership-reward.ca,public
domain,applybmo.lockdownbenefit.info,public
domain,applyrbc.lockdownbenefit.info,public
domain,applyscotia.lockdownbenefit.info,public
domain,applyatb.lockdownbenefit.info,public
domain,timhortonsfreegiveaway.ca,public
domain,applysimpli.lockdownbenefit.info,public
domain,applycibc.lockdownbenefit.info,public
domain,applytd.lockdownbenefit.info,public
domain,action-eibenefitscra-mobile.ml,public
domain,clevaden4801.online,public
domain,wirelessbillreturn.online,public
domain,net.bankid-sperret.com,public
domain,permanenttsb-ie.co,public
domain,employementgovca.info,public
domain,employementgovca.xyz,public
domain,billpaycanada.online,public
domain,bell-interac.serveirc.com,public
domain,cescage2957.online,public
domain,billpayreturn.online,public
domain,amazonbilling.support,public
domain,bell-pay.servebeer.com,public
domain,amazoncaptcha.com,public
domain,payment-reimburse.servepics.com,public
domain,formuletax.com,public
domain,mobilityreturn.online,public
domain,cadmobilityreturn.online,public
domain,interac.rip,public
domain,inter-reimburse.3utilities.com,public
domain,interac-captcha.com,public
domain,cadreturn.online,public
domain,mobilitycadreturn.online,public
domain,permanenttsb-secured.info,public
domain,ebill-fidosolutionswirelesspromo,public
domain,carrier-mobile-departement.com,public
domain,carrier-mobile-direct.com,public
domain,onlineaibhelp-service.com,public
domain,wirelessreturn.online,public
domain,wirelessreturncad.online,public
domain,permanenttsb-ie-secure.com,public
domain,account-settings.info,public
domain,sperret.nett-bankid.com,public
domain,permanenttsb-secured.co,public
domain,hydroone.xyz,public
domain,open24helponline.com,public
domain,online-permanenttsb.info,public
domain,ptsb-ie-secure.com,public
domain,luminor.lt-prisijungti.com,public
domain,onlineservicehelp-updated.com,public
domain,reimbursementcad.online,public
domain,mobilityreimbursementcad.online,public
domain,wirelesscad.online,public
domain,wirelessreimbursementcad.online,public
domain,ebill-petrocanadapurchaseovercha,public
domain,ministryofhealthref.ca,public
domain,eiclaimusers.tk,public
domain,permanenttsb-info.cc,public
domain,bankid.sperret-nett.com,public
domain,open24-review.com,public
domain,my-bell.serveirc.com,public
domain,onlinemobileaib-update.com,public
domain,open24security-online.com,public
domain,eibenefitscra-mobile.ml,public
domain,suport-help.info,public
domain,supporthelp.info,public
domain,mobilereturncaptcha.ga,public
domain,permanenttsb-secured.cc,public
domain,ministrytransf.ca,public
domain,employementreturngov.site,public
domain,employementreturngov.online,public
domain,ptsb.ie-secure-open24.info,public
domain,onlinereactivation-service.com,public
domain,ptsb.ie-secure-open24.com,public
domain,factumensremb.ca,public
domain,fundstranfer.com,public
domain,9182.uidinterac.ca,public
domain,e-rogersmobileview.ga,public
domain,royal2022update.com,public
domain,bellbillrefund.info,public
domain,onlineviewbellalianttelecom-retu,public
domain,carriertransferfunds.ca,public
domain,mobilebellview.ml,public
domain,carrier-mobile-fundsinfos.com,public
domain,carrier-mobile-funds.com,public
domain,directlytransferdeposit.com,public
domain,transferdepositclients.com,public
domain,intrac-bell.xyz,public
domain,permanenttsb-secureonline.info,public
domain,open24onlinereview.com,public
domain,alert-scotiamobileview.ml,public
domain,et-interac-ca-sh-gh6op25bfr.ml,public
domain,etonlinebellmobilitycanadaview.m,public
domain,wirelessonlinebellmobilitycanada,public
domain,processingreturnworkbench.tk,public
domain,www.robotcheckprocessing.tk,public
domain,robotcheckprocessing.tk,public
domain,annual-membership-rewards.ca,public
domain,membership-annual-rewards.ca,public
domain,open24service-update.com,public
domain,onlineboiservice-mobile.com,public
domain,mobility-refund.ca,public
domain,accountrecovering.ca,public
domain,mobility-refunds.com,public
domain,ptsb.ie-secure24-open.info,public
domain,ptsb.ie-secure-open24.online,public
domain,ptsb.ie-open24-secure.com,public
domain,permanenttsb-secureonline.com,public
domain,ptsb-secure.info,public
domain,permanenttsbonline-secure.com,public
domain,interacemobile.bounceme.net,public
domain,amazonsecure-transfer.com,public
domain,amazonsecure-transfers.com,public
domain,ca-amazon.net,public
domain,catransferz.com,public
domain,employementclient.online,public
domain,ptsb.ie-sec-open24.com,public
domain,mobileviewamazon.ml,public
domain,postnord.norsk-no.com,public
domain,permanenttsb-secured.co.in,public
domain,netflixcheckinginfoprocessingrequest.ml,public
domain,caatransfers.com,public
domain,mobile-carrier-customer.com,public
domain,mobile-carrier-deposit.com,public
domain,ptsb.ie-open24-online.com,public
domain,postnord.no-no.pw,public
domain,login.neftlixsupport.live,public
domain,neftlixsupport.live,public
domain,rogerscredit.online,public
domain,permanenttsb-info.co.in,public
domain,rogerscredit.org,public
domain,netflixsupport.club,public
domain,amazon-ref.tk,public
domain,interacinquirys.com,public
domain,interacinfo.com,public
domain,n3tf-ix.serveblog.net,public
domain,permanenttsb.ie-open24-access.com,public
domain,memberslogin-amazon.com,public
domain,ptsb.open24-ire.com,public
domain,ptsb.ie-open24-co.com,public
domain,login.amazon-support.xyz,public
domain,amazon-support.xyz,public
domain,boi.ie-secure-co.com,public
domain,rogers.credit,public
domain,permanenttsb.ie-open24-activity.com,public
domain,permanenttsb-secure.co.in,public
domain,ptsb.ie-secure-open.com,public
domain,permanenttsbsecure-online.com,public
domain,online.halimobile.com,public
domain,walmart.etransfer-ca.online,public
domain,lnteracmobile.com,public
domain,et-interac-ca-sh-hydro6op25bf-com.ml,public
domain,lnteracfido.com,public
domain,lloyds.secure-online-ce.com,public
domain,annual-clubmember-rewards.ca,public
